n	h	f	time	MAX_GENERATIONS	CONSTANT_MEMBERS	POPULATION_SIZE	CROSSOVER_CHANCE	MUTATION_CHANCE	SWAP_ELEMENT_CHANCE	CHANGE_R_CHANCE
10	0.2	2067	0.0267632439999943	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1070	0.026366762000179733	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	996	0.026163952000388235	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	960	0.026120161999642733	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1297	0.02543260000038572	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	663	0.025654887999735365	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	898	0.02559432599991851	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	708	0.025481262000539573	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1661	0.025439314999857743	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	944	0.025957728999856045	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	825	0.025957851000384835	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	821	0.025469655000051716	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2282	0.02555778699934308	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1265	0.025527100000545033	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1070	0.0256900640006279	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	912	0.02569903699986753	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1308	0.025590387000193004	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	738	0.025631102999795985	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	630	0.025546191999637813	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	570	0.025486823000392178	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1543	0.02561045800030115	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1077	0.025709176000418665	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1068	0.025550297000336286	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	875	0.025507831999675545	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	3209	0.025475498000560037	5	0.3	20	0.3	0.3	0.1	0.2
